customer_id,age,gender,location,income,registration_date,purchase_date,product_category,brand,price,quantity,revenue,purchase_frequency,avg_order_value,customer_lifespan
CUST_00001,40,,,33889,2025-04-25,2025-07-09,Home & Garden,Brand H,58.75,2,117.51,3,140.64,0.41
CUST_00002,30,Male,San Francisco,20000,2025-02-16,2025-08-25,Automotive,Brand F,177.15,2,354.31,2,369.55,0.6
CUST_00003,,Male,Boston,58321,2025-05-25,2025-09-13,Sports,Brand G,133.91,2,267.81,4,275.07,0.33
CUST_00004,39,Male,,39590,2022-11-12,2023-09-04,Books,Brand H,16.46,6,98.75,2,79.62,2.86
CUST_00005,42,Female,Phoenix,23078,2025-01-06,2025-02-16,Sports,Brand G,94.95,1,94.95,5,97.28,0.71
CUST_00006,48,Male,Charlotte,24591,2022-10-21,2025-03-31,Books,Brand C,11.2,1,11.2,5,10.8,2.92
CUST_00007,41,Female,Jacksonville,64802,2025-02-16,2025-06-25,Electronics,Brand C,276.42,2,552.85,3,468.79,0.6
CUST_00008,31,Other,Boston,22662,2023-01-16,2023-04-07,Home & Garden,Brand A,113.7,3,341.09,5,348.3,2.69
CUST_00009,33,Other,Austin,73178,2023-08-04,2023-12-26,Electronics,Brand A,140.57,1,140.57,3,141.25,2.14
CUST_00010,28,Male,Seattle,49527,2025-03-27,2025-09-02,Beauty,Brand B,28.55,4,114.21,3,132.35,0.49
CUST_00011,41,Female,New York,42129,2023-12-06,2025-07-15,Electronics,Brand H,239.18,5,1195.91,5,965.38,1.8
CUST_00012,48,,Denver,22472,2024-05-12,2025-05-22,Beauty,Brand F,39.94,5,199.72,5,199.66,1.37
CUST_00013,18,Female,Dallas,32158,2022-09-29,2023-07-06,Books,Brand A,24.53,2,49.07,3,48.78,2.98
CUST_00014,53,Male,San Jose,20458,2023-07-02,2023-10-14,Electronics,Brand A,283.38,3,850.13,9,950.71,2.23
CUST_00015,29,Male,Indianapolis,37833,2023-10-13,2023-12-06,Home & Garden,Brand D,103.19,3,309.58,4,264.8,1.95
CUST_00016,28,Female,Phoenix,20000,2025-04-30,2025-07-01,Automotive,Brand G,60.42,3,181.27,2,184.84,0.4
CUST_00017,39,Female,Chicago,,2025-03-24,2025-08-15,Home & Garden,Brand E,71.85,1,71.85,2,85.64,0.5
CUST_00018,25,Female,San Jose,28548,2023-06-15,2023-12-12,Automotive,Brand B,55.78,5,278.9,2,226.07,2.28
CUST_00019,27,Female,Phoenix,104365,2024-11-13,2024-11-25,Automotive,Brand F,128.11,3,384.33,3,414.58,0.86
CUST_00020,37,Female,Chicago,23992,2022-12-21,2025-09-15,Toys,Brand H,33.28,3,99.83,4,101.2,2.76
CUST_00021,30,Female,Boston,59397,2023-04-27,2024-09-14,Automotive,Brand H,69.36,4,277.43,3,228.33,2.41
CUST_00022,29,Male,San Antonio,49361,2025-03-08,2025-07-23,Clothing,Brand C,70.37,2,140.74,3,133.45,0.54
CUST_00023,26,Female,San Antonio,32639,2025-05-26,2025-08-08,Clothing,Brand C,49.71,1,49.71,2,42.13,0.33
CUST_00024,22,Male,New York,34393,2023-02-03,2023-05-31,Beauty,Brand B,33.62,1,33.62,2,38.87,2.64
CUST_00025,35,Female,Columbus,46583,2023-11-08,2025-02-21,Electronics,Brand C,193.34,3,580.03,4,690.1,1.88
CUST_00026,46,Male,Columbus,48323,2024-07-31,2024-10-21,Home & Garden,Brand H,103.29,3,309.88,4,344.29,1.15
CUST_00027,48,Female,New York,30106,2025-05-12,2025-08-19,Automotive,Brand A,165.41,6,992.46,2,893.79,0.37
CUST_00028,57,Male,Chicago,36285,2024-11-30,2025-01-23,Sports,Brand E,87.22,1,87.22,6,97.86,0.81
CUST_00029,44,Male,Los Angeles,101338,2024-12-19,2025-06-03,Electronics,Brand H,184.21,4,736.82,3,602.97,0.76
CUST_00030,,Male,San Francisco,46283,2025-05-22,2025-08-05,Beauty,Brand H,11.44,2,22.87,5,20.06,0.34
CUST_00031,18,Male,Columbus,32999,2023-06-23,2024-02-27,Automotive,Brand A,155.51,2,311.03,1,356.85,2.25
CUST_00032,58,Female,,35681,2024-08-25,2025-01-26,Beauty,Brand C,30.51,4,122.04,3,123.63,1.08
CUST_00033,22,Male,Jacksonville,26181,2024-03-06,2024-07-29,Books,Brand D,10,4,40,5,46.39,1.55
CUST_00034,30,Female,Austin,26674,2024-09-09,2024-12-13,Toys,Brand G,24.89,2,49.79,1,53.71,1.04
CUST_00035,56,Female,Los Angeles,34987,2023-05-01,2025-04-15,Toys,Brand B,51.2,2,102.39,4,106.92,2.4
CUST_00036,25,Male,San Jose,26214,2024-12-07,2025-04-24,Sports,Brand B,101.42,3,304.27,6,356.54,0.79
